region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AMR,PEL,HG01941,HG01941,-0.023786863524815578,0.09031259670528691,0.0518,-0.0597,0.0182,0.0222,-0.0197,0.0224,-0.0137,0.0138,-0.0243,-0.0261,0.0416,-0.0249,0.0038
AMR,PEL,HG01942,HG01942,-0.027168679521106763,0.07876212829196144,0.076,-0.0063,0.042,0.0243,-0.0416,-0.0046,-0.0191,0.024,0.0099,0.0277,0.0257,0.0298,0.0166
AMR,PEL,HG01944,HG01944,-0.014291529982882478,0.07772336952775769,0.035,0.0728,0.0831,0.0072,0.0025,0.0136,-0.0555,-0.0112,-0.0029,-0.0543,0.0065,0.0107,-0.0058
AMR,PEL,HG01945,HG01945,-0.033703804933434355,0.02979619997598698,-0.0674,0.0409,0.0677,-0.0175,0.0289,0.0441,-0.019,0.0212,-0.0176,-0.0225,-0.0356,0.0152,0.0127
AMR,PEL,HG01947,HG01947,-0.028777585603096817,0.052742492990533116,0.048,0.0573,0.0641,0.0452,-0.0265,0.0533,-0.0091,0.0177,-0.0057,-0.0126,-0.0312,0.0138,-0.0044
AMR,PEL,HG01948,HG01948,-0.01910766733644544,0.04144148946357667,0.0509,-0.055,0.0049,-0.0201,0.0688,0.0115,-0.0214,0.0267,-0.0362,0.0247,-0.0251,0.0359,0.0039
AMR,PEL,HG01950,HG01950,-0.03321769431880498,0.06838044153222785,0.0278,0.007,0.0649,0.0004,0.0175,-0.0169,0.0436,-0.009,-0.0091,-0.024,0.0095,0.0142,-0.0184
AMR,PEL,HG01951,HG01951,-0.028004570021273087,0.07110502132707375,-0.0012,0.0226,0.0252,-0.0156,0.0426,0.0482,-0.0134,0.072,-0.0145,0.0112,-0.0098,-0.0165,0.0143
AMR,PEL,HG01953,HG01953,-0.027555899487469115,0.06771404878927637,0.0049,0.0112,0.0727,0.0205,0.0214,-0.0085,-0.0169,-0.0049,0.0036,0.0245,0.0478,0.0469,0.0264
AMR,PEL,HG01954,HG01954,-0.02427297413944491,0.10087354819984196,0.0313,-0.0319,-0.016,0.0323,-0.0387,0.0102,0.0045,-0.0252,0.0234,-0.0151,-0.0272,-0.0203,0.0293
AMR,PEL,HG01961,HG01961,-0.021402093159199883,0.09301682863011904,-0.017,0.0683,0.0216,0.0463,-0.0152,0.013,-0.027,-0.0517,0.014,0.015,-0.009,-0.0046,0.0199
AMR,PEL,HG01965,HG01965,-0.016740599617741755,0.03284573525495303,0.001,-0.061,-0.0415,-0.0491,-0.0713,0.006,-0.0771,0.0309,-0.0044,-0.0118,-0.1087,-0.0446,0.0292
AMR,PEL,HG01967,HG01967,-0.029951047266791847,0.0448283924273713,-0.0341,-0.0405,-0.0421,-0.0301,-0.0641,-0.0822,0.0174,0.0465,0.0228,0.0,0.0253,-0.0024,-0.0003
AMR,PEL,HG01968,HG01968,-0.028080264097724347,0.09735295973005677,-0.0128,-0.0228,0.0211,0.0113,0.0058,-0.0542,0.0236,0.0146,0.0268,0.0211,0.0405,0.0319,0.0137
AMR,PEL,HG01970,HG01970,-0.022079677230658956,0.07908158985117789,-0.0798,-0.0496,0.0249,0.0339,0.0482,-0.0117,0.0329,-0.0501,0.0472,-0.034,0.0344,0.0878,-0.0037
AMR,PEL,HG01971,HG01971,-0.011230396418008567,0.06307961791493652,-0.0036,-0.0059,-0.0062,-0.0242,0.0816,0.0107,-0.0017,0.0296,0.0405,-0.0174,0.0491,-0.0085,-0.0247
AMR,PEL,HG01973,HG01973,-0.01809780254766123,0.08389040197153584,-0.0427,-0.0335,0.0079,0.0596,-0.0036,-0.0134,-0.0102,-0.0107,0.0203,0.0356,-0.0542,0.011,0.0284
AMR,PEL,HG01974,HG01974,-0.03303700523308256,0.07864919761338494,-0.0039,-0.0027,0.0271,-0.0093,0.0276,0.0557,-0.024,0.012,-0.0316,0.003,0.0086,-0.0113,0.0038
AMR,PEL,HG01976,HG01976,-0.02531275029714937,0.07830877774805431,0.0113,0.0413,-0.0142,0.0495,0.0032,-0.0619,0.0393,-0.076,0.0187,0.0045,0.035,-0.0123,-0.0172
AMR,PEL,HG01977,HG01977,-0.028779416911398056,0.05496285256643741,-0.0309,-0.0234,0.013,-0.031,0.0307,-0.0242,-0.0551,-0.0462,-0.0021,0.0239,0.0472,-0.0034,-0.0352
AMR,PEL,HG01979,HG01979,-0.028867930145958027,0.04760811494995457,-0.0993,0.0037,-0.0162,0.0261,-0.0848,0.0628,-0.0474,-0.0076,-0.0014,0.0249,0.0023,-0.0683,0.035
AMR,PEL,HG01980,HG01980,-0.028830693543832782,0.06798772764096178,-0.0342,-0.0111,-0.0349,-0.023,-0.0055,-0.0605,0.0276,0.0185,0.0088,-0.0407,0.0133,-0.0351,-0.0608
AMR,PEL,HG01982,HG01982,-0.02336668000903091,0.06139420384169465,0.0214,-0.082,0.0285,0.0541,0.0074,0.0163,-0.0454,0.0017,0.0466,0.0225,-0.0522,0.0246,0.0491
AMR,PEL,HG01991,HG01991,-0.025069186293084383,0.028726919406762537,-0.0313,0.0679,0.0425,0.0175,0.0141,-0.0142,-0.096,-0.0667,-0.0019,-0.0405,0.0104,0.0787,0.0156
AMR,PEL,HG01992,HG01992,-0.020893192930155104,0.09304877478604066,0.0023,-0.0535,0.0126,0.0311,-0.0012,-0.0449,0.0073,0.0106,0.0385,-0.0312,-0.0128,0.0215,0.0367
AMR,PEL,HG01997,HG01997,-0.029142626391144105,0.08579089303082345,-0.0148,0.0096,-0.0542,-0.0189,-0.046,-0.0432,-0.0088,-0.0454,-0.0182,0.027,0.0362,-0.0232,-0.0154
AMR,PEL,HG02002,HG02002,-0.02663760011374696,0.07374536094006258,-0.0248,-0.0018,-0.023,0.0079,-0.0047,0.0943,0.0411,0.0734,0.0284,-0.0073,-0.0432,0.007,-0.0021
AMR,PEL,HG02003,HG02003,-0.031097446263368515,0.058708081521174814,-0.0276,0.0028,-0.0564,-0.0061,-0.0204,0.0046,-0.0513,0.0269,0.0217,-0.0027,-0.041,-0.0066,0.0074
AMR,PEL,HG02006,HG02006,0.01421319068332946,0.011798101991393218,0.014,0.1156,-0.0844,-0.0225,-0.0157,0.0682,0.0285,0.005,-0.0593,0.0153,-0.0668,-0.0125,0.0813
AMR,PEL,HG02008,HG02008,-0.026275204548801445,0.05482530096514422,-0.035,-0.0183,-0.0025,-0.0189,0.013,-0.0275,-0.0334,-0.0696,-0.0163,0.0494,0.0297,-0.0371,-0.0101
AMR,PEL,HG02089,HG02089,-0.023622045777703937,0.03791581402628802,-0.0788,0.0341,-0.0865,-0.0233,0.0599,0.0153,-0.0419,-0.0293,0.065,-0.022,0.0114,0.0053,0.014
AMR,PEL,HG02090,HG02090,-0.03238424556304032,0.06261629691472263,0.0395,-0.0047,-0.0691,-0.0567,0.003,-0.0481,-0.0556,-0.0433,-0.0161,-0.0009,0.0543,-0.0251,-0.0275
AMR,PEL,HG02102,HG02102,-0.02752578463984871,0.06942550813613588,-0.0069,0.0569,0.067,0.0084,-0.0621,-0.0661,0.0305,-0.0371,0.0337,-0.0409,0.0107,0.0228,-0.0144
AMR,PEL,HG02104,HG02104,-0.028605646101480316,0.06815905670647786,-0.0099,-0.0485,0.0356,-0.0578,-0.0075,-0.0225,0.0431,-0.0207,-0.0426,-0.0312,-0.0107,0.0003,0.003
AMR,PEL,HG02105,HG02105,-0.02737927997574944,0.08837751426697588,0.0457,-0.0442,0.011,0.0274,-0.0332,0.0149,-0.0038,-0.0286,-0.023,0.0514,0.0074,-0.0155,-0.0023
AMR,PEL,HG02146,HG02146,-0.027317218972207423,0.0404348803339947,0.1181,0.0728,-0.0411,0.0309,-0.002,-0.0197,-0.008,-0.0144,0.013,-0.0415,0.0071,-0.0125,-0.0133
AMR,PEL,HG02147,HG02147,-0.02708993326415341,0.08157705262966856,-0.065,-0.0065,0.0344,0.0183,0.0388,0.0031,0.0085,0.0255,0.0035,0.0042,-0.015,-0.0032,-0.0441
AMR,PEL,HG02150,HG02150,-0.030445093550726526,0.09777436411804226,-0.0172,-0.0257,0.0201,0.0134,0.0103,-0.0405,0.0247,-0.0234,0.0254,-0.0087,0.0181,0.0109,-0.0012
AMR,PEL,HG02252,HG02252,-0.02853341116293138,0.06794743885833449,-0.025,-0.0072,0.0285,-0.0419,-0.0138,0.024,-0.0329,0.0472,-0.0366,0.0176,0.0391,-0.0009,0.0205
AMR,PEL,HG02253,HG02253,-0.028192991297600768,0.02652650074347175,0.0025,0.0945,-0.0262,0.012,0.002,0.0086,-0.1215,-0.064,-0.0308,-0.036,0.0497,0.0512,0.0016
AMR,PEL,HG02259,HG02259,-0.02849943022000834,0.08681378045641644,-0.0543,-0.0023,-0.0043,-0.0299,-0.042,0.0448,-0.0287,-0.0245,0.0404,-0.0035,0.0385,0.0141,0.0079
AMR,PEL,HG02260,HG02260,-0.029401044340319187,0.08239483352552261,0.0285,0.0149,0.0133,0.0416,-0.0487,0.0027,0.0222,0.0443,0.0131,-0.0275,-0.0414,-0.0065,-0.0184
AMR,PEL,HG02262,HG02262,-0.030691709735293622,0.06914816666784798,-0.043,0.0139,-0.0279,0.0039,0.066,-0.0218,-0.0058,0.003,0.0183,-0.0079,-0.0264,0.0202,-0.0031
AMR,PEL,HG02265,HG02265,-0.024381428286618392,0.0903931742705415,-0.0091,-0.0486,0.0033,0.0561,-0.021,-0.0351,0.0462,-0.0292,0.0093,0.0312,-0.0047,0.0068,0.0003
AMR,PEL,HG02266,HG02266,-0.03157643512349302,0.08793718635987756,-0.0342,0.0075,-0.0097,-0.0208,-0.0581,-0.0092,0.0306,-0.0031,-0.0313,0.0161,0.0103,-0.0291,-0.0138
AMR,PEL,HG02271,HG02271,-0.02398179611954764,0.09185272698663036,-0.0209,-0.0072,-0.0104,0.0492,-0.0222,0.0243,-0.0358,-0.0155,0.0099,0.0511,-0.039,0.0097,0.0245
AMR,PEL,HG02272,HG02272,-0.030543780720293384,0.09183380346751753,0.0012,0.0152,-0.0141,-0.0129,0.0007,0.0292,0.0638,0.027,-0.024,-0.0437,-0.04,-0.0344,0.0002
AMR,PEL,HG02274,HG02274,-0.0017993621453190334,0.05746218144023069,0.0524,0.1111,-0.037,0.0311,0.0462,-0.0828,0.0663,0.0307,0.0442,-0.0855,0.0735,-0.0751,0.002
AMR,PEL,HG02275,HG02275,-0.026678092375074375,0.10099767020692606,-0.0288,0.0067,0.0026,0.0113,0.0035,0.0249,-0.0382,-0.005,0.0069,-0.0025,0.0132,0.0073,0.0394
AMR,PEL,HG02277,HG02277,-0.027783999110323636,0.08762505003386607,-0.0371,-0.0454,0.0428,0.0169,0.037,-0.0762,0.0467,-0.0358,0.0545,-0.0047,0.0018,-0.0003,-0.01
AMR,PEL,HG02278,HG02278,-0.03119694734773593,0.06467550136011775,0.0118,-0.0368,0.0573,-0.0494,-0.0063,0.0428,-0.0796,-0.0374,-0.0404,0.0147,0.0478,-0.0248,0.0119
AMR,PEL,HG02285,HG02285,-0.03650957272963524,0.06791834140421478,0.0042,-0.0252,0.038,-0.0197,0.043,0.0029,0.0657,0.0322,-0.0278,-0.0186,-0.0059,-0.0109,-0.0284
AMR,PEL,HG02286,HG02286,-0.02426788717194149,0.05102126666606698,0.0127,-0.0101,0.0659,0.0394,0.0059,0.0047,-0.0035,0.0581,0.0163,0.0246,-0.0254,0.0006,0.0018
AMR,PEL,HG02291,HG02291,-0.027403697419765973,0.10160057759543452,-0.0017,0.0089,-0.0019,0.0076,0.0006,0.0039,0.0266,0.0118,0.0069,-0.0353,0.0069,-0.038,-0.0066
AMR,PEL,HG02292,HG02292,-0.03059159821482579,0.07882235798720226,0.0337,-0.004,-0.0618,0.0345,-0.0043,-0.0022,0.0079,0.016,0.0303,-0.0164,-0.0064,-0.0437,-0.013
AMR,PEL,HG02298,HG02298,-0.027803533065536908,0.02940023042551871,0.0418,-0.0094,-0.0845,0.0301,-0.0412,-0.0696,0.0153,0.02,0.0484,-0.0305,-0.0254,0.0109,0.0149
AMR,PEL,HG02299,HG02299,-0.025126974243923503,0.08787044534623234,0.007,-0.0366,0.044,0.0003,0.0156,-0.0302,0.0213,-0.0557,-0.012,0.046,0.0141,-0.0259,-0.0176
AMR,PEL,HG02301,HG02301,-0.03248740926401021,0.07302443590547417,-0.025,0.0615,0.0219,0.019,0.0058,0.0487,0.0286,0.061,-0.0355,-0.0565,0.0026,-0.0008,0.0041
AMR,PEL,HG02304,HG02304,-0.021657458927872908,0.06953843881471239,0.0444,-0.0534,-0.0245,0.0233,0.0112,-0.0387,0.0125,-0.0408,-0.0094,0.038,0.0138,0.0034,0.0221
AMR,PEL,HG02312,HG02312,-0.022512272947152048,0.06844331645057043,-0.0154,-0.0261,-0.0498,0.0504,0.0039,-0.0213,0.0115,-0.0188,-0.0104,0.0726,-0.0052,0.0416,0.0392
AMR,PEL,HG02345,HG02345,-0.023524172522937647,0.006619162115484504,-0.04,-0.0008,0.022,0.022,0.0349,0.0111,-0.0124,-0.0057,0.0813,0.0131,0.015,0.0456,0.0203
AMR,PEL,HG02348,HG02348,-0.030212313917768855,0.033965071584411394,-0.0051,-0.0593,-0.0321,-0.0459,-0.0657,-0.0422,0.0324,-0.0434,-0.0461,0.0191,-0.0126,-0.026,-0.0071
AMR,PEL,HG02425,HG02425,-0.020856770242830468,0.027045981864923695,0.0636,-0.0233,0.008,-0.0069,-0.0452,-0.0243,0.0614,-0.034,-0.1039,0.0756,0.0213,0.0039,-0.0123
AMR,PUR,HG00551,HG00551,-0.009361444557242408,-0.029611034358861504,0.0055,0.0177,-0.0296,-0.0561,-0.0069,0.1009,0.0209,-0.0027,-0.0561,-0.1321,0.0885,0.0461,0.0357
AMR,PUR,HG00553,HG00553,-0.019093016870035555,-0.025466580194453622,0.0311,-0.0702,-0.029,-0.0206,-0.0358,-0.0212,0.0287,-0.0255,-0.0204,0.0287,0.0423,0.0421,0.0264
AMR,PUR,HG00554,HG00554,-0.01912292823895581,-0.005582438138282095,0.0298,0.0061,-0.016,-0.0759,0.0101,-0.0055,-0.0381,-0.0464,0.0657,-0.0027,-0.0002,-0.0639,-0.0031
AMR,PUR,HG00637,HG00637,-0.023952698665427992,-0.014413820681665366,-0.0583,0.001,-0.0285,0.0321,0.0044,-0.0308,-0.0169,-0.0548,-0.0111,-0.0156,0.0549,-0.0391,0.0267
AMR,PUR,HG00638,HG00638,-0.005103856235557871,-0.004152186355013108,0.0033,0.0377,0.0084,0.0726,-0.0067,0.0054,-0.05,0.1143,0.0037,-0.0496,0.0114,0.0518,0.0905
AMR,PUR,HG00640,HG00640,-0.02720856134633385,-0.02577953043526564,-0.0497,0.0571,-0.0137,0.0597,-0.0268,-0.0342,0.0075,-0.1018,-0.0172,0.0397,0.0296,-0.0254,-0.0077
AMR,PUR,HG00641,HG00641,-0.013756787958920259,-0.03002450307754163,0.0262,0.017,0.0211,0.0937,0.0228,-0.0038,-0.0191,-0.0578,0.0307,0.0249,-0.0397,-0.1025,-0.0431
AMR,PUR,HG00731,HG00731,-0.03152088543835545,-0.012177182809750033,0.0107,0.0247,-0.0112,-0.0281,0.0728,0.0172,-0.0761,0.0092,-0.014,-0.0013,-0.0632,0.0184,-0.0075
AMR,PUR,HG00732,HG00732,-0.024877509357554554,-0.02347167501830207,-0.0253,0.0864,-0.0339,-0.0048,-0.0296,0.017,-0.0118,-0.0018,0.0271,0.0244,0.0128,0.0218,-0.0064
AMR,PUR,HG00734,HG00734,-0.020223544528001472,0.00193345460870993,-0.0031,0.0808,0.0127,-0.043,0.0605,-0.0721,0.0357,0.0213,-0.0155,-0.0092,-0.0264,0.0593,-0.0744
AMR,PUR,HG00736,HG00736,-0.023527224703439733,-0.02244370062520562,-0.0167,-0.027,-0.0312,-0.0205,-0.0093,-0.0154,0.0271,0.0219,0.0734,0.0021,-0.0228,-0.0217,-0.1149
AMR,PUR,HG00737,HG00737,-0.03257714337077106,-0.014758717078399028,0.0067,-0.0116,-0.0701,-0.0002,-0.058,-0.0078,0.021,-0.0121,-0.0434,0.0146,-0.0499,-0.0138,-0.0072
AMR,PUR,HG00739,HG00739,-0.019982218789638,-0.039474053911943696,0.0239,0.035,-0.0066,0.0103,-0.0316,0.0383,-0.0252,-0.0314,-0.0481,0.025,-0.0447,-0.0331,-0.0203
AMR,PUR,HG00740,HG00740,-0.007407642078518694,-0.012215843762776244,-0.0454,0.067,-0.0594,0.1069,0.0138,-0.0271,0.026,0.0245,0.0447,-0.0476,-0.0633,-0.0135,-0.017
AMR,PUR,HG00742,HG00742,-0.02328691635857693,-0.024393637008626703,0.0225,-0.005,0.051,0.0725,-0.0107,0.0421,0.0115,-0.0345,0.0398,0.0556,0.0357,0.0349,0.0121
AMR,PUR,HG00743,HG00743,-0.013755567086719411,0.0012587192390527923,0.0473,-0.0672,0.0348,0.0249,0.005,-0.0248,-0.0039,0.0182,0.0065,-0.0104,-0.0455,0.003,0.0343
AMR,PUR,HG01047,HG01047,-0.008900768780130304,-0.036636543438521296,-0.0479,0.0416,-0.012,0.0719,-0.019,-0.0187,0.0477,-0.0091,-0.0294,0.0187,0.0052,-0.0827,-0.0477
AMR,PUR,HG01048,HG01048,-0.02075564132886197,-0.002737398952954578,-0.1016,-0.088,-0.0968,0.06,-0.0177,-0.0411,-0.0501,-0.0021,-0.0239,-0.0822,-0.0237,0.0488,0.0152
AMR,PUR,HG01049,HG01049,0.012340779684660881,-0.016910504332356895,-0.0451,-0.0206,-0.0173,-0.0501,0.0311,-0.0026,-0.0268,0.0261,0.0042,0.0234,0.1047,0.0975,-0.0296
AMR,PUR,HG01051,HG01051,-0.00833835365294925,-0.008658629126966227,-0.0535,-0.1294,0.0045,0.0304,-0.0173,0.0192,-0.0191,-0.0022,-0.1106,-0.0432,0.0115,-0.024,0.0273
AMR,PUR,HG01052,HG01052,-0.01290014263133988,-0.031149740289303972,0.0601,-0.0048,0.0046,-0.0361,-0.0184,-0.045,-0.0265,-0.0274,0.0888,-0.0081,-0.0491,0.0327,-0.0172
AMR,PUR,HG01054,HG01054,-0.02963911441948055,-0.022119966013286283,-0.0136,0.0503,0.0047,-0.037,0.0098,-0.0892,-0.0137,-0.0037,0.0468,-0.0376,-0.082,0.0137,-0.0298
AMR,PUR,HG01055,HG01055,-0.012186746308656534,-0.0005685194881851652,0.0096,0.0126,0.0831,-0.0471,-0.0129,-0.0734,-0.0226,-0.1045,-0.0014,0.0437,-0.0574,0.0315,0.0137
AMR,PUR,HG01058,HG01058,-0.02760269958850085,0.015245031171728544,-0.079,0.045,-0.1148,-0.0213,-0.0275,0.0185,-0.0234,0.0665,-0.027,0.0693,0.0081,-0.0514,0.04
AMR,PUR,HG01060,HG01060,-0.02487262586875126,-0.045774364904312165,0.0298,0.0285,-0.0272,-0.021,-0.0406,0.0555,0.013,-0.0033,-0.0232,0.053,0.0006,0.0302,0.0494
AMR,PUR,HG01061,HG01061,-0.019219784100221432,-0.013743358364711127,-0.003,-0.0484,0.0318,-0.1068,-0.0152,0.0421,0.0789,-0.0101,0.0034,0.0195,-0.0136,0.0799,-0.0452
AMR,PUR,HG01063,HG01063,-0.012534694885892282,-0.021006937523532217,0.0176,0.0201,0.0419,0.0305,-0.0663,0.0407,-0.0589,-0.0221,0.0647,0.0397,-0.0114,-0.0479,0.0029
AMR,PUR,HG01064,HG01064,-0.015600508460869368,-0.011610087672465838,-0.0172,-0.0383,0.0114,0.0255,-0.0441,-0.0543,0.0391,0.1243,0.0325,-0.0011,0.0118,-0.0506,0.0513
AMR,PUR,HG01066,HG01066,-0.024171031310675894,0.01003699384170009,0.0469,-0.0067,0.0835,0.0572,0.0633,-0.0187,-0.0032,-0.0264,-0.0332,-0.042,0.0356,0.0684,-0.0484
AMR,PUR,HG01067,HG01067,-0.020409727538627614,-0.0016742227447342755,0.0084,-0.0573,0.0042,0.0214,-0.0576,-0.019,-0.0673,-0.0365,-0.055,-0.0165,-0.0228,0.0558,-0.0136
AMR,PUR,HG01069,HG01069,-0.02189959858103702,-0.024581651327554084,-0.0368,0.0095,-0.061,-0.0309,-0.0243,0.0788,0.0121,-0.0117,0.0659,0.0631,-0.002,-0.0102,-0.0345
AMR,PUR,HG01070,HG01070,-0.009524634474752951,-0.0010302126587979645,-0.0758,-0.0466,0.0893,-0.0261,-0.0268,0.0613,0.0189,-0.0208,0.0116,0.0623,0.0481,0.0839,-0.062
AMR,PUR,HG01072,HG01072,-0.02383773319985009,-0.000906904566514414,-0.0577,-0.0155,0.0267,-0.0108,-0.0195,-0.0576,0.0277,0.0136,-0.0174,-0.0179,-0.0421,-0.0447,-0.0299
AMR,PUR,HG01073,HG01073,-0.013672751255763308,-0.00632106581978252,0.0234,0.022,-0.0405,0.0804,-0.0251,-0.0272,-0.0016,0.0547,-0.0825,-0.0308,0.0365,0.0805,-0.0602
AMR,PUR,HG01075,HG01075,-0.027929282902222147,-0.047479312932767276,-0.0106,0.0371,0.0284,-0.0454,0.0307,0.007,0.003,0.0095,0.025,0.0291,0.0555,0.0392,-0.0093
AMR,PUR,HG01077,HG01077,-0.0001438594409974548,0.016064846854583953,0.0936,0.0699,-0.013,-0.0781,0.0081,0.0034,-0.0544,0.0083,0.0332,-0.0057,-0.0721,-0.0021,0.0395
AMR,PUR,HG01079,HG01079,-0.019731329552367997,0.0003530355447391941,0.0826,-0.0036,0.0133,-0.0332,-0.1069,0.0347,-0.0319,0.0116,-0.0749,-0.017,-0.0336,0.03,0.0447
AMR,PUR,HG01080,HG01080,-0.019397624484141892,0.03260033994258678,0.0563,0.0345,0.045,-0.0121,-0.0274,-0.0756,-0.0022,0.0444,0.0091,-0.0173,0.0181,0.052,-0.0148
AMR,PUR,HG01082,HG01082,-0.004234798707269061,0.034279242697424224,-0.0419,0.1283,-0.004,0.002,-0.0209,-0.0222,0.1015,0.0522,0.0051,0.0482,0.0458,-0.0105,0.0185
AMR,PUR,HG01083,HG01083,-0.020428244100340158,-0.0010662283887223583,0.002,-0.0374,0.0104,0.0607,0.0009,-0.0492,0.0191,0.0873,0.035,0.0088,0.0026,0.0277,0.0101
AMR,PUR,HG01085,HG01085,-0.015648936391502166,0.008882048739717608,-0.041,0.108,-0.0737,0.0378,-0.0151,0.0468,0.0425,-0.0894,0.0783,0.0457,0.0095,0.0305,0.0166
AMR,PUR,HG01086,HG01086,-0.01392750658833591,-0.014157844476891947,-0.0678,-0.0038,-0.0733,0.0109,-0.0265,0.0427,0.0414,-0.1262,0.0093,0.0145,0.0449,0.0453,-0.0442
AMR,PUR,HG01088,HG01088,-0.005845536097560382,-0.038665226078895734,0.0081,-0.0032,0.0094,0.0249,0.0303,-0.0305,-0.0383,-0.0271,0.0033,-0.0936,0.0313,-0.0127,0.1084
AMR,PUR,HG01089,HG01089,0.0011899434384061807,-0.012069135619976853,0.0177,0.0057,-0.0202,-0.0039,0.0709,0.0744,-0.0529,0.0334,0.0398,-0.0114,-0.0153,-0.0361,-0.124
AMR,PUR,HG01092,HG01092,-0.013245242506773664,0.005024296063803975,0.0312,-0.1384,0.0051,-0.0553,-0.0367,-0.0293,0.0695,0.0367,0.0002,-0.0097,0.0281,-0.0266,0.0169
AMR,PUR,HG01094,HG01094,-0.012084803479887465,0.006885312255264814,-0.0678,-0.0108,-0.0689,-0.1308,0.0377,-0.0202,0.0969,-0.0137,0.0129,0.0334,0.0095,0.0481,0.0203
AMR,PUR,HG01095,HG01095,-0.024215796624706243,-0.023056781948720982,0.0129,0.021,-0.068,-0.0001,-0.0819,0.038,0.0372,-0.0221,0.0335,-0.0225,0.0098,0.076,-0.0394
AMR,PUR,HG01097,HG01097,-0.013194576310439356,-0.023642190169017602,0.0041,-0.0377,-0.0152,0.0019,-0.0376,0.0195,-0.056,0.0649,-0.0356,0.0709,0.1066,0.0191,-0.0179
AMR,PUR,HG01098,HG01098,-0.005005779502091429,-0.013853236862785579,-0.0097,0.0497,-0.0418,0.1114,-0.0257,0.0081,0.0066,0.0413,-0.0708,0.0136,-0.005,-0.0385,-0.0333
AMR,PUR,HG01101,HG01101,-0.004744512851114414,-0.0029899160198256685,-0.0075,0.0049,-0.0039,-0.0572,0.0602,0.0535,-0.028,0.0339,-0.0301,-0.0062,-0.1082,-0.0302,-0.1076
AMR,PUR,HG01102,HG01102,-0.01832875087231775,-0.001956244223125347,-0.0499,-0.0502,0.018,-0.1144,0.0148,0.1153,-0.0191,-0.0067,0.0172,0.0506,-0.022,-0.0003,-0.0994
AMR,PUR,HG01104,HG01104,-0.018848028515069573,-0.022169614816119926,-0.0091,0.107,0.0382,-0.0772,0.0495,-0.0173,-0.0634,0.0145,0.0028,0.0221,0.0104,-0.0486,-0.0119
AMR,PUR,HG01105,HG01105,-0.010693823085745076,0.0022565787845288416,0.1036,-0.0202,0.0344,0.0285,0.0271,0.0354,0.0751,-0.0265,0.0366,-0.0098,-0.0192,0.0589,0.0722
AMR,PUR,HG01107,HG01107,-0.0018097395590261083,-0.011864436047638168,-0.0487,0.0188,0.0078,0.0857,-0.0073,0.0363,0.0771,0.0118,-0.0295,-0.0205,-0.0277,0.0237,-0.0259
AMR,PUR,HG01108,HG01108,0.027685922376857228,-0.02877880647529769,-0.0075,0.0074,0.009,0.0202,-0.0193,-0.0419,-0.002,0.0044,-0.0136,0.0497,-0.0144,-0.0149,0.026
AMR,PUR,HG01110,HG01110,-0.024415205750841332,-0.005167952026101277,-0.0684,-0.0141,0.0038,0.006,-0.028,0.0299,0.0262,-0.0893,0.0176,0.008,0.0058,0.0044,0.0165
AMR,PUR,HG01111,HG01111,-0.017098925608684548,-0.007774107217466956,-0.037,0.0275,-0.0056,0.005,0.0834,-0.0387,-0.0311,0.0395,0.0399,0.0177,-0.0278,-0.0001,-0.0135
AMR,PUR,HG01161,HG01161,-0.015595421493365923,-0.01231717615544489,-0.0671,-0.0193,-0.0565,-0.0369,0.0425,-0.0318,0.0064,0.1149,0.0003,0.029,0.0604,-0.0159,0.0595
AMR,PUR,HG01162,HG01162,-0.02122323538177876,0.007215558185588562,-0.1096,0.0089,0.0389,-0.0292,0.0036,-0.0013,0.0074,-0.0561,-0.0064,0.0225,0.0351,0.0161,-0.0618
AMR,PUR,HG01164,HG01164,-0.010987035892643734,-0.00809784182938629,-0.0076,-0.0953,0.0287,0.0331,-0.0369,-0.0443,-0.0529,0.015,-0.0127,-0.0841,-0.0172,-0.009,-0.0948
AMR,PUR,HG01167,HG01167,-0.01418185496350824,-0.02794861337873521,0.0464,0.047,0.0187,-0.0298,0.0446,0.0412,-0.0539,0.0538,0.0543,0.0694,-0.028,0.0392,-0.0219
AMR,PUR,HG01168,HG01168,-0.032437760461176635,-0.014474864291706718,0.022,0.0234,0.0176,0.0149,-0.0869,-0.028,0.0025,0.1038,0.0154,0.0263,0.0134,0.0397,0.0212
AMR,PUR,HG01170,HG01170,-0.0060724148482140606,0.012528997482288414,0.0018,0.0225,0.0047,-0.0375,0.1433,0.022,-0.0478,-0.0352,0.067,0.006,0.0332,0.1355,-0.0182
AMR,PUR,HG01171,HG01171,-0.013229371168162932,-0.030600551277631897,-0.0367,-0.006,-0.0479,-0.0624,0.018,0.0088,-0.004,0.0472,0.1336,0.0192,-0.05,0.0618,0.0666
AMR,PUR,HG01173,HG01173,-0.03503313128143502,-0.056708903292320326,0.012,0.0063,0.0129,0.037,0.0008,0.004,-0.0231,-0.0203,0.0172,-0.0282,-0.003,-0.0274,-0.0065
AMR,PUR,HG01174,HG01174,-0.032165302481692054,-0.04448329255193746,-0.0038,0.0217,0.0147,-0.0287,0.0161,-0.004,-0.0077,-0.0327,-0.0421,-0.0387,-0.0217,0.0247,0.0216
